name,reading,party,chamber,district
横田光弘,よこたみつひろ,日本維新の会,衆,（比）南関東
若狹清史,わかさきよし,日本維新の会,衆,（比）北陸信越
浅野哲,あさのさとし,国民民主党・無所属クラブ,衆,茨城5
飯泉嘉門,いいずみかもん,国民民主党・無所属クラブ,衆,（比）四国
井戸まさえ,いどまさえ,国民民主党・無所属クラブ,衆,（比）東京
臼木秀剛,うすきひでたけ,国民民主党・無所属クラブ,衆,（比）北海道
岡野純子,おかのじゅんこ,国民民主党・無所属クラブ,衆,（比）南関東
小竹凱,おだけかい,国民民主党・無所属クラブ,衆,（比）北陸信越
河井昭成,かわいあきなり,国民民主党・無所属クラブ,衆,（比）近畿
許斐亮太郎,このみりょうたろう,国民民主党・無所属クラブ,衆,（比）九州
近藤雅彦,こんどうまさひこ,国民民主党・無所属クラブ,衆,（比）九州
佐々木真琴,ささきまこと,国民民主党・無所属クラブ,衆,（比）東北
鈴木義弘,すずきよしひろ,国民民主党・無所属クラブ,衆,（比）北関東
高沢一基,たかざわかずもと,国民民主党・無所属クラブ,衆,（比）東京
田中健,たなかけん,国民民主党・無所属クラブ,衆,（比）東海
玉木雄一郎,たまきゆういちろう,国民民主党・無所属クラブ,衆,香川2
丹野みどり,たんのみどり,国民民主党・無所属クラブ,衆,愛知11
長友慎治,ながともしんじ,国民民主党・無所属クラブ,衆,宮崎2
鍋島勢理,なべしませり,国民民主党・無所属クラブ,衆,（比）中国
西岡秀子,にしおかひでこ,国民民主党・無所属クラブ,衆,長崎1
西岡義高,にしおかよしたか,国民民主党・無所属クラブ,衆,（比）南関東
野村美穂,のむらみほ,国民民主党・無所属クラブ,衆,（比）東海
橋本幹彦,はしもとみきひこ,国民民主党・無所属クラブ,衆,（比）北関東
日野紗里亜,ひのさりあ,国民民主党・無所属クラブ,衆,愛知7
深作ヘスス,ふかさくへすす,国民民主党・無所属クラブ,衆,（比）南関東
福田徹,ふくたとおる,国民民主党・無所属クラブ,衆,（比）東海
古川元久,ふるかわもとひさ,国民民主党・無所属クラブ,衆,愛知2
向山好一,むこやまこういち,国民民主党・無所属クラブ,衆,（比）近畿
村岡敏英,むらおかとしひで,国民民主党・無所属クラブ,衆,秋田3
森ようすけ,もりようすけ,国民民主党・無所属クラブ,衆,（比）東京
青木ひとみ,あおきひとみ,参政党,衆,（比）北関東
石川勝,いしかわまさる,参政党,衆,（比）近畿
伊藤恵介,いとうけいすけ,参政党,衆,（比）東海
川裕一郎,かわゆういちろう,参政党,衆,（比）北陸信越
木下敏之,きのしたとしゆき,参政党,衆,（比）九州
工藤聖子,くどうせいこ,参政党,衆,（比）南関東
島村かおる,しまむらかおる,参政党,衆,（比）中国
鈴木美香,すずきみか,参政党,衆,（比）東京
谷浩一郎,たにこういちろう,参政党,衆,（比）近畿
豊田真由子,とよたまゆこ,参政党,衆,（比）北関東
なかやめぐ,なかやめぐ,参政党,衆,（比）南関東
牧野俊一,まきのしゅんいち,参政党,衆,（比）九州
吉川里奈,よしかわりな,参政党,衆,（比）東京
和田政宗,わだまさむね,参政党,衆,（比）東北
渡辺藍理,わたなべあいり,参政党,衆,（比）東海
宇佐美登,うさみのぼる,チームみらい,衆,（比）東京
河合道雄,かわいみちお,チームみらい,衆,（比）南関東
小林修平,こばやししゅうへい,チームみらい,衆,（比）南関東
須田英太郎,すだえいたろう,チームみらい,衆,（比）東海
高山聡史,たかやまさとし,チームみらい,衆,（比）東京
土橋章宏,どばしあきひろ,チームみらい,衆,（比）東京
林拓海,はやしたくみ,チームみらい,衆,（比）東北
古川あおい,ふるかわあおい,チームみらい,衆,（比）九州
峰島侑也,みねしまゆうや,チームみらい,衆,（比）東京
武藤かず子,むとうかずこ,チームみらい,衆,（比）北関東
山田瑛理,やまだえり,チームみらい,衆,（比）南関東
塩川鉄也,しおかわてつや,日本共産党,衆,（比）北関東
辰巳孝太郎,たつみこうたろう,日本共産党,衆,（比）近畿
田村智子,たむらともこ,日本共産党,衆,（比）東京
畑野枝,はたのきみえ,日本共産党,衆,（比）南関東
石井啓一,いしいけいいち,無所属,衆,（比）北関東
緒方林太郎,おがたりんたろう,無所属,衆,福岡9
河村たかし,かわむらたかし,無所属,衆,愛知1
中村はやと,なかむらはやと,無所属,衆,茨城7
森英介,もりえいすけ,無所属,衆,千葉11
山本ジョージ,やまもとじょーじ,無所属,衆,（比）南関東
渡辺真太朗,わたなべしんたろう,無所属,衆,栃木3
青木愛,あおきあい,立憲,参,比例
青木一彦,あおきかずひこ,自民,参,鳥取・島根
青島健太,あおしまけんた,維新,参,比例
赤松健,あかまつけん,自民,参,比例
秋野公造,あきのこうぞう,公明,参,福岡
浅尾慶一郎,あさおけいいちろう,自民,参,神奈川
浅田均,あさだひとし,維新,参,大阪
朝日健太郎,あさひけんたろう,自民,参,東京
阿達雅志,あだちまさし,自民,参,比例
足立康史,あだちやすし,民主,参,比例
安達悠司,あだちゆうじ,参政,参,比例
有村治子,ありむらはるこ,自民,参,比例
安藤裕,あんどうひろし,参政,参,比例
安野貴博,あんのたかひろ,みら,参,比例
生稲晃子[佐山晃子],いくいなあきこ,自民,参,東京
石井準一,いしいじゅんいち,自民,参,千葉
石井浩郎,いしいひろお,自民,参,秋田
石井苗子,いしいみつこ,維新,参,比例
石井めぐみ[根本めぐみ],いしいめぐみ,維新,参,比例
石垣のりこ[小川のり子],いしがきのりこ,立憲,参,宮城
石川博崇,いしかわひろたか,公明,参,大阪
石田昌宏,いしだまさひろ,自民,参,比例
石橋通宏,いしばしみちひろ,立憲,参,比例
泉房穂,いずみふさほ,立憲,参,兵庫
伊勢崎賢治,いせざきけんじ,れ新,参,比例
礒崎哲史,いそざきてつじ,民主,参,比例
磯崎仁彦,いそざきよしひこ,自民,参,香川
伊藤孝江,いとうたかえ,公明,参,兵庫
伊藤孝恵,いとうたかえ,民主,参,愛知
伊藤辰夫,いとうたつお,民主,参,比例
井上義行,いのうえよしゆき,自民,参,比例
猪口邦子,いのぐちくにこ,自民,参,千葉
猪瀬直樹,いのせなおき,維新,参,比例
伊波洋一,いはよういち,沖縄,参,沖縄
今井絵理子,いまいえりこ,自民,参,比例
岩渕友,いわぶちとも,共産,参,比例
岩本剛人,いわもとつよひと,自民,参,北海道
岩本麻奈[富田麻奈],いわもとまな,参政,参,比例
いんどう周作[犬童周作],いんどうしゅうさく,自民,参,比例
上田勇,うえだいさむ,公明,参,比例
上田清司,うえだきよし,民主,参,埼玉
上野ほたる[上野蛍],うえのほたる,維新,参,比例
上野通子,うえのみちこ,自民,参,栃木
牛田茉友[高橋茉友],うしだまゆ,民主,参,東京
臼井正一,うすいしょういち,自民,参,千葉
打越さく良[村木さく良],うちこしさくら,立憲,参,新潟
梅村みずほ,うめむらみずほ,参政,参,比例
江島潔,えじまきよし,自民,参,山口
江原くみ子[江原久美子],えはらくみこ,民主,参,埼玉
大家敏志,おおいえさとし,自民,参,福岡
大島九州男,おおしまくすお,れ新,参,比例
大津力,おおつつとむ,参政,参,埼玉
岡崎太,おかざきふとし,維新,参,大阪
岡田直樹,おかだなおき,自民,参,石川
小川克巳,おがわかつみ,自民,参,比例
奥田ふみよ[遠藤芙美代],おくだふみよ,れ新,参,比例
奥村祥大,おくむらよしひろ,民主,参,東京
小沢雅仁,おざわまさひと,立憲,参,比例
越智俊之,おちとしゆき,自民,参,比例
尾辻朋実[末原朋実],おつじともみ,みら,参,鹿児島
鬼木誠,おにきまこと,立憲,参,比例
小野田紀美,おのだきみ,自民,参,岡山
かごしま彰宏[籠島彰宏],かごしまあきひろ,民主,参,神奈川
梶原大介,かじはらだいすけ,自民,参,比例
加田裕之,かだひろゆき,自民,参,兵庫
嘉田由紀子,かだゆきこ,維新,参,比例
片山さつき,かたやまさつき,自民,参,比例
片山大介,かたやまだいすけ,維新,参,兵庫
勝部賢志,かつべけんじ,立憲,参,北海道
加藤明良,かとうあきよし,自民,参,茨城
金子道仁,かねこみちひと,維新,参,比例
かまやち敏[釜萢敏],かまやちさとし,自民,参,比例
神谷宗幣,かみやそうへい,参政,参,比例
神谷政幸,かみやまさゆき,自民,参,比例
川合孝典,かわいたかのり,民主,参,比例
川村雄大,かわむらゆうだい,公明,参,東京
岸真紀子,きしまきこ,立憲,参,比例
北村経夫,きたむらつねお,自民,参,山口
北村晴男,きたむらはるお,保守,参,比例
木戸口英司,きどぐちえいじ,立憲,参,岩手
木村英子,きむらえいこ,れ新,参,比例
木村義雄,きむらよしお,自民,参,比例
吉良よし子[吉良佳子],きらよしこ,共産,参,東京
串田誠一,くしだせいいち,維新,参,比例
窪田哲也,くぼたてつや,公明,参,比例
熊谷裕人,くまがいひろと,立憲,参,埼玉
見坂茂範,けんざかしげのり,自民,参,比例
小池晃,こいけあきら,共産,参,比例
上月良祐,こうづきりょうすけ,自民,参,茨城
郡山りょう[郡山玲],こおりやまりょう,立憲,参,比例
古賀千景,こがちかげ,立憲,参,比例
古賀友一郎,こがゆういちろう,自民,参,長崎
古賀之士,こがゆきひと,立憲,参,福岡
小島とも子[小島智子],こじまともこ,立憲,参,三重
古庄玄知,こしょうはるとも,自民,参,大分
後藤翔太,ごとうしょうた,参政,参,比例
後藤斎,ごとうひとし,民主,参,山梨
小西洋之,こにしひろゆき,立憲,参,千葉
小林一大,こばやしかずひろ,自民,参,新潟
小林孝一郎,こばやしこういちろう,自民,参,岡山
小林さやか[中山さやか],こばやしさやか,民主,参,千葉
こやり隆史[小鑓隆史],こやりたかし,自民,参,滋賀
齊藤健一郎,さいとうけんいちろう,無所属,参,比例
斎藤嘉隆,さいとうよしたか,立憲,参,愛知
酒井庸行,さかいやすゆき,自民,参,愛知
櫻井祥子,さくらいしょうこ,参政,参,茨城
櫻井充,さくらいみつる,自民,参,宮城
佐々木雅文,ささきまさふみ,公明,参,比例
佐々木りえ[中野理江],ささきりえ,維新,参,大阪
佐藤啓,さとうけい,自民,参,奈良
里見隆治,さとみりゅうじ,公明,参,愛知
塩入清香,しおいりさやか,参政,参,東京
塩村あやか[塩村文夏],しおむらあやか,立憲,参,東京
柴愼一,しばしんいち,立憲,参,比例
柴田巧,しばたたくみ,維新,参,比例
自見はなこ[橋本英子],じみはなこ,自民,参,比例
清水真人,しみずまさと,自民,参,群馬
下野六太,しものろくた,公明,参,福岡
白川容子,しらかわようこ,共産,参,比例
進藤金日子,しんどうかねひこ,自民,参,比例
榛葉賀津也,しんばかづや,民主,参,静岡
末松信介,すえまつしんすけ,自民,参,兵庫
杉久武,すぎひさたけ,公明,参,大阪
杉尾秀哉,すぎおひでや,立憲,参,長野
杉本純子,すぎもとじゅんこ,参政,参,愛知
鈴木大地,すずきだいち,自民,参,東京
鈴木宗男,すずきむねお,自民,参,比例
石平,せきへい,維新,参,比例
関口昌一,せきぐちまさかず,無所属,参,埼玉
大門実紀史,だいもんみきし,共産,参,比例
高木かおり[高木佳保里],たかぎかおり,維新,参,大阪
高木真理,たかぎまり,立憲,参,埼玉
高橋克法,たかはしかつのり,自民,参,栃木
高橋はるみ,たかはしはるみ,自民,参,北海道
高橋光男,たかはしみつお,公明,参,兵庫
高良沙哉[坂本沙哉],たからさちか,沖縄,参,沖縄
滝波宏文,たきなみひろふみ,自民,参,福井
竹内真二,たけうちしんじ,公明,参,比例
竹詰仁,たけづめひとし,民主,参,比例
竹谷とし子[菊地とし子],たけやとしこ,公明,参,東京
田島麻衣子,たじままいこ,立憲,参,愛知
田名部匡代,たなぶまさよ,立憲,参,青森
谷合正明,たにあいまさあき,公明,参,比例
田村まみ[田村麻美],たむらまみ,民主,参,比例
司隆史,つかさたかし,公明,参,比例
辻元清美,つじもときよみ,立憲,参,比例
鶴保庸介,つるほようすけ,自民,参,和歌山
出川桃子,でがわももこ,自民,参,鳥取・島根
寺田静,てらたしずか,自民,参,秋田
天畠大輔,てんばただいすけ,れ新,参,比例
堂込麻紀子,どうごみまきこ,民主,参,茨城
徳永エリ[鈴木エリ],とくながえり,立憲,参,北海道
友納理緒[土肥理緒],とものうりお,自民,参,比例
永井学,ながいまなぶ,自民,参,山梨
ながえ孝子[永江孝子],ながえたかこ,無所属,参,愛媛
中条きよし[下村清],なかじょうきよし,維新,参,比例
中曽根弘文,なかそねひろふみ,自民,参,群馬
中田優子,なかだゆうこ,参政,参,福岡
中西祐介,なかにしゆうすけ,自民,参,徳島・高知
長浜博行,ながはまひろゆき,立憲,参,千葉
新実彰平,にいみしょうへい,維新,参,京都
西田昌司,にしだしょうじ,自民,参,京都
西田英範,にしたひでのり,自民,参,広島
西田実仁,にしだまこと,公明,参,埼玉
仁比聡平,にひそうへい,共産,参,比例
庭田幸恵,にわたゆきえ,民主,参,富山
野上浩太郎,のがみこうたろう,自民,参,富山
野村哲郎,のむらてつろう,自民,参,鹿児島
芳賀道也,はがみちや,民主,参,山形
初鹿野裕樹,はじかのひろき,参政,参,神奈川
橋本聖子[石崎聖子],はしもとせいこ,自民,参,比例
長谷川岳,はせがわがく,自民,参,北海道
長谷川英晴,はせがわひではる,自民,参,比例
羽田次郎,はたじろう,立憲,参,長野
馬場成志,ばばせいし,自民,参,熊本
浜口誠,はまぐちまこと,民主,参,比例
浜野喜史,はまのよしふみ,民主,参,比例
原田大二郎,はらだだいじろう,公明,参,比例
原田秀一,はらだひでかず,民主,参,香川
東野秀樹,ひがしのひでき,自民,参,比例
百田尚樹,ひゃくたなおき,保守,参,比例
平木大作,ひらきだいさく,公明,参,比例
平戸航太,ひらどこうた,民主,参,比例
平山佐知子,ひらやまさちこ,無所属,参,静岡
広田一,ひろたはじめ,立憲,参,徳島・高知
福岡資麿,ふくおかたかまろ,自民,参,佐賀
福士珠美,ふくしますみ,立憲,参,青森
福島みずほ[福島瑞穂],ふくしまみずほ,社民,参,比例
福山哲郎,ふくやまてつろう,無所属,参,京都
福山守,ふくやままもる,自民,参,比例
藤井一博,ふじいかずひろ,自民,参,比例
藤川政人,ふじかわまさひと,自民,参,愛知
藤木眞也,ふじきしんや,自民,参,比例
船橋利実,ふなはしとしみつ,自民,参,北海道
舟山康江,ふなやまやすえ,民主,参,山形
古川俊治,ふるかわとしはる,自民,参,埼玉
星北斗,ほしほくと,自民,参,福島
堀井巌,ほりいいわお,自民,参,奈良
本田顕子,ほんだあきこ,自民,参,比例
舞立昇治,まいたちしょうじ,自民,参,比例
牧野たかお[牧野京夫],まきのたかお,自民,参,静岡
牧山ひろえ[牧山弘惠],まきやまひろえ,立憲,参,神奈川
松川るい[新居るい],まつかわるい,自民,参,大阪
松沢成文,まつざわしげふみ,維新,参,神奈川
松下新平,まつしたしんぺい,自民,参,宮崎
松田学,まつだまなぶ,参政,参,比例
松野明美[前田明美],まつのあけみ,維新,参,比例
松村祥史,まつむらよしふみ,自民,参,熊本
松山政司,まつやままさじ,自民,参,福岡
三浦信祐,みうらのぶひろ,公明,参,神奈川
三上えり[川堀絵里],みかみえり,立憲,参,広島
水岡俊一,みずおかしゅんいち,立憲,参,比例
水野孝一,みずのこういち,民主,参,愛知
三原じゅん子[中根順子],みはらじゅんこ,自民,参,神奈川
宮崎勝,みやざきまさる,公明,参,比例
宮沢洋一,みやざわよういち,自民,参,広島
宮出千慧[高森千慧],みやでちさと,参政,参,大阪
宮本和宏,みやもとかずひろ,自民,参,滋賀
宮本周司,みやもとしゅうじ,自民,参,石川
村田享子,むらたきょうこ,立憲,参,比例
望月良男,もちづきよしお,無所属,参,和歌山
森まさこ[三好雅子],もりまさこ,自民,参,福島
森ゆうこ[森裕子],もりゆうこ,立憲,参,比例
森本真治,もりもとしんじ,立憲,参,広島
山内佳菜子,やまうちかなこ,立憲,参,宮崎
山崎正昭,やまざきまさあき,自民,参,福井
山下雄平,やましたゆうへい,自民,参,佐賀
山添拓,やまぞえたく,共産,参,東京
山田太郎,やまだたろう,自民,参,比例
山田宏,やまだひろし,自民,参,比例
山田吉彦,やまだよしひこ,民主,参,比例
山谷えり子[小川惠里子],やまたにえりこ,自民,参,比例
山中泉,やまなかせん,参政,参,比例
山本啓介,やまもとけいすけ,自民,参,長崎
山本佐知子,やまもとさちこ,自民,参,三重
山本順三,やまもとじゅんぞう,自民,参,愛媛
横沢高徳,よこさわたかのり,立憲,参,岩手
横山信一,よこやましんいち,公明,参,比例
吉井章,よしいあきら,自民,参,京都
吉川沙織,よしかわさおり,立憲,参,比例
吉田忠智,よしだただとも,立憲,参,大分
ラサール石井[石井朗夫],らさーるいしい,社民,参,比例
蓮舫[齊藤蓮舫],れんほう,立憲,参,比例
若井敦子,わかいあつこ,自民,参,岐阜
若林洋平,わかばやしようへい,自民,参,静岡
脇雅昭,わきまさあき,自民,参,神奈川
渡辺猛之,わたなべたけゆき,自民,参,岐阜
